identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore
1,Définition d'une stratégie globale de la politique économie circulaire et inscription dans le territoire,,,,,90,,,,,,,,,,,,,
1.1,Définir une stratégie globale de la politique Economie Circulaire et assurer un portage politique fort,"Une stratégie territoriale de la politique Économie Circulaire et l'inscription dans le territoire nécessitent un portage politique et un pilotage technique dédiés, ainsi qu'un diagnostic et une stratégie d'économie circulaire avec des objectifs et des cibles clairement exprimés, cohérents avec les documents régionaux et nationaux.","**Objectifs liés à l’économie circulaire**

[Loi sur la transition écologique et la croissance verte](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000031044385/) [Feuille de route de l’économie circulaire](https://www.ecologie.gouv.fr/sites/default/files/Feuille-de-route-Economie-circulaire-50-mesures-pour-economie-100-circulaire.pdf) (pdf)

**Informations générales**

[Economiecirculaire.org](https://www.economiecirculaire.org/) [Economie circulaire : comment ça marche ?](https://librairie.ademe.fr/dechets-economie-circulaire/925-economie-circulaire-comment-ca-marche-.html)","**Portage politique**

[Elus locaux : un mandat pour agir](https://agirpourlatransition.ademe.fr/collectivites/elus-locaux-mandat-agir) [Exemple de dynamique interne : Métropole Aix Marseille Provence](https://optigede.ademe.fr/fiche/une-dynamique-interne-pilotee-par-la-direction-generale-des-services) [Exemple d'une mise en place d'une stratégie ECi: SMICVAL](https://www.recita.org/initiative/h/nouvel-r-le-territoire-experimental-de-l-economie-circulaire.html)

**Organisation de la gouvernance**

[Vidéo du réseau Normand de l’économie circulaire](https://www.youtube.com/watch?v=bt5SkAPTuFw) [Organisation en clubs: exemple en Normandie](https://neci.normandie.fr/clubs) [Rôle des structures d’intermédiation: exemples de plusieurs types](https://www.economiecirculaire.org/static/h/le-role-des-organismes-dintermediation.html#page1:local)","**Portage politique**

[PLPDMA : approche intégrée et partagée](https://librairie.ademe.fr/dechets-economie-circulaire/2263-elaborer-et-conduire-avec-succes-un-plpdma.html) [Participer au réseau A3P (charte d’engagement des membres) charte des membres du réseau A3P](http://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=12&ved=2ahUKEwjU0ufWqrfjAhWcQkEAHbeUCHs4ChAWMAF6BAgFEAI&url=http%3A%2F%2Fwww.sinoe.org%2Fdocuments%2Fdownload%2FidDoc%2F1168&usg=AOvVaw0_X7zFSW77LAADgY3OZKyE ) (pdf)

**Diagnostic**

[Etude de préfiguration des CODEC](https://www.sindra.org/wp-content/uploads/2015/05/201505ADEMECDC-etudeprefiguration-CODEC.pdf) (pdf) [Cadrage de diagnostic du PLPDMA](https://librairie.ademe.fr/dechets-economie-circulaire/2263-elaborer-et-conduire-avec-succes-un-plpdma.html) [Observer pour planifier, suivre et optimiser](https://www.optigede.ademe.fr/enquetes-nationales-dechets)

**Accompagnement**

[Cahier des charges d'accompagnement d'un programme d'économie circulaire](http://www.corse.developpement-durable.gouv.fr/IMG/pdf/fiche_16_programme_dteci.pdf) (pdf)

**Démarches régionales et stratégies régionales d’économie circulaire**

[Intégration de l’économie circulaire dans la planification régionale (étude)](https://temis.documentation.developpement-durable.gouv.fr/docs/Temis/0086/Temis-0086130/22927.pdf) (pdf) [Guide méthodologique du développement des stratégies régionales d’économie circulaire en France](https://librairie.ademe.fr/dechets-economie-circulaire/2983-guide-methodologique-du-developpement-des-strategies-regionales-d-economie-circulaire-en-france.html) (pdf)

**Planification bas carbone**

[En chemin vers la planification bas carbone](https://librairie.ademe.fr/urbanisme-et-batiment/5662-en-chemin-vers-la-planification-bas-carbone.html) [Webinaire du 28 Juin 2022 : ""En chemin vers la planification bas carbone""](https://www.cadredeville.com/announces/2022/06/27/28-juin-webinaire-en-chemin-vers-la-planification-bas-carbone) [Planification bas carbone](https://experimentationsurbaines.ademe.fr/bas-carbone/)

**Approche flux de matière**

[Comptabilité des flux de matière dans les régions et départements, guide méthodologique (CGDD, 2014)](https://www.ecologie.gouv.fr/sites/default/files/EIT%20-%20comptabilite%20des%20flux%20de%20matieres.pdf) (pdf) [L'économie circulaire au service de la préservation des ressources et du climat: une approche flux et filière vers un écosystème territorial (Orée, 2015)](https://circulareconomy.europa.eu/platform/sites/default/files/leconomie_circulaire_au_service_de_la_preservation_des_ressources_et_du_climat.compressed.pdf) (pdf)

**Ressource OPTIGEDE**

[La planification dans l'économie circulaire](https://optigede.ademe.fr/la-planification-dans-l-economie-circulaire)",30,,,,,,,,,,,,eci_1,
1.1.1,S'engager politiquement et mettre en place des moyens,"La collectivité justifie d'un portage politique de l'économie circulaire : un élu s’engage à travers l’établissement d’une politique Economie Circulaire.

La collectivité s'est dotée d'une équipe technique en charge de déployer la politique Economie Circulaire en interne et en externe.

La collectivité intègre la vigilance de sobriété dans sa politique Economie Circulaire.",,"Définir l'organisation de la collectivité : l'élu identifié, l'équipe projet.

Définir les moyens humains et financiers : le budget identifié, les moyens humains.

Formaliser l'intention de développer une stratégie et un programme d'actions Economie Circulaire sur le territoire (exemple: une politique Economie Circulaire, une politique de Transition Ecologique intégrant les éléments de l'économie circulaire, etc.).",,,20,bases,,,,,,,,,,,
1.1.1.1,Identifier un élu référent en charge de la politique Economie Circulaire,,,,,,20,,,,,,,,,,,,
1.1.1.2,Engager la politique Economie Circulaire - Formaliser une vision et des engagements économie circulaire,,,,,,30,,,,,,,,,,,,
1.1.1.3,Désigner un chef de projet économie circulaire,"En cas d’indisponibilité (arrêt maladie longue durée, maternité/paternité, départ…), son remplacement est une priorité pour éviter les absences de longue durée (ex : plus de 3 mois)",,,,,20,,,,,,,,,,,,
1.1.1.4,Identifier l'équipe technique,,,,,,20,,,,,,,,,,,,
1.1.1.5,Allouer un budget à la politique économie circulaire,,,,,,10,,,,,,,,,,,,
1.1.2,Réaliser le diagnostic de l'économie circulaire,"La collectivité réalise son diagnostic de l'économie circulaire sur le territoire à partir des analyses suivantes :

-   une identification des orientations et des objectifs d'économie circulaire régionaux et locaux s'inscrivant dans les documents de planification (SRDEII, PRPGD, PRAEC, SRADDET, S3, PLU, SCOT, PCAET, PAT, SRDT, etc.).
    
-   une analyse du tissu territorial afin d'identifier des enjeux économiques, environnementaux et sociaux prioritaires en matière d'économie circulaire et de sobriété. Ces analyses peuvent provenir des travaux précédents ou de nouvelles études.
    
-   un recensement des principaux acteurs mobilisables (acteurs institutionnels, acteurs économiques du territoire, acteurs associatifs et citoyens) associés à une première prise de contact et un recensement des initiatives d'économie circulaire du territoire.",,"Un diagnostic consacré à l’économie circulaire et à la sobriété sera préférable à plusieurs éléments de diagnostics éparpillés dans plusieurs documents. Un diagnostic consacré à l’ECi facilitera son exploitation en vue d’élaborer une stratégie ECi robuste. L'analyse des documents de planification sous-entend de mobiliser les personnes ressources pour interpréter les textes et identifier les enjeux.

Des diagnostics spécifiques sont attendus dans les autres orientations du Référentiel listées ci-après. Le diagnostic de ce niveau 1.1.2 peut poser des éléments de connaissances sur les sujets suivants:

Déchets :

2.2.1 Etude d'opportunités d'optimisation de la collecte des déchets

2.3.1 Etude des flux de déchets et d'opportunités relatives à leur valorisation

2.4.1 Etude de pistes de réduction d'impact de la gestion des déchets (collecte et traitement)

Acteurs :

3.1 Diagnostic de filière(s) à enjeux pour l'économie circulaire

3.3.1 Annuaire des activités qui proposent des biens ou des services responsables sur le territoire

3.4.2 Liste des établissements du territoire dispensant une formation en éco-conception

Finances:

2.1.1 Structure des achats de la collectivité (en vue d'y intégrer des clauses d'achats responsables)

4.1.2 Etude d'optimisation des coûts du Service Public de Prévention et de Gestion des Déchets

4.2.2 Etude de faisabilité de la Tarification Incitative",,,20,bases,,,,,,,,,,,
1.1.2.1,Identifier les enjeux et objectifs en lien avec l'économie circulaire  dans les documents de planification existants,,,,,,20,,,,,,,,,,,,
