id,nom,actions,description
enquete_taux_occupation,Enquêtes périodiques sur les taux d’occupation,cae_4.2.1.6,
bilan_covoit,Présentation / Bilan offre covoiturage,cae_4.3.4.2,
ex_grille_entretien_indiv,Exemple de grille d’entretien individuel du personnel,cae_5.1.3.1,
agenda21,Agenda 21 / Agenda 2030,cae_1.1.1.3,
engagement_convention_maires,Délibération d'engagement dans la Convention des Maires,cae_1.1.1.3,
liste_vehicules,Liste et classes des véhicules de la collectivité,cae_4.1.2.3,
cr_comites_quartiers,Compte-rendu de comités de quartiers ou ateliers de concertation portant sur l’énergie et le climat,cae_6.5.1.2,
etude_potentiel_ENR,Etude(s) de potentiel énergies renouvelables,cae_1.2.1.3,
cdc_achat_vehicules,Cahier des charges pour l’achat de véhicules,cae_4.1.2.3,
releve_conso_vehicule,Tableau de bord des relevés de consommations des véhicules,cae_4.1.2.1,
cdc_cession_terrains,Cahier des charges de cession des terrains intégrant des prescriptions énergétiques,cae_1.3.2.5,
prescription_EP,Cahier des prescriptions éclairage public,cae_2.3.1.3,
PLH,Programme Local de l'Habitat,cae_1.2.4.1,
rapport_dev_durable,Rapport Développement Durable,cae_1.1.1.3,
liste_actions_partenariales_chambres_consulaires,Liste et/ou descriptifs d’actions partenariales avec les chambres consulaires,cae_6.3.1.2,
bilan_auto_partage,Présentation / Bilan offre auto-partage,cae_4.3.4.3,
cr_reunions_reseaux,Compte-rendu de réunion de réseaux de collectivités,cae_6.1.1.2,
sondage_efficacite_comm,Sondage sur l’efficacité des actions de communication,cae_6.1.3.5,
politique_stationnement,Descriptif politique stationnement,cae_4.2.1.1,
liste_articles,"Liste des articles sur la thématique de l’environnement, énergie, climat, développement durable",cae_6.1.3.4,
etude_vulnerabiliteCC,Etude de vulnérabilité au changement climatique,cae_1.1.3.2,
promotion_PDE,Politique de promotion des Plans de déplacement entreprise ou des Plans de mobilité,cae_4.1.1.3,
rapport_activite_partenaire_sensibilisation,Rapport d’activité de structures partenaires de la collectivité en matière de sensibilisation/action « énergie-climat »,cae_6.2.3.1,
CEP,Conseil en Énergie Partagé,cae_2.1.1.3,"<p>Description, création, bilan d’activités…</p>
"
budget_plan_actions_cae,Budget du plan d’actions de la politique Climat-Air-Énergie,cae_5.2.1.2,"<p>ou budget des actions programmées couvertes par le référentiel Climat-Air-Énergie</p>
"
etude_valor_bio_dechets,"Étude de valorisation des bio-déchets, biogaz",cae_3.3.5.1,
certif_parc_auto,Présentation certification parc auto (ISO 14001 ou autre démarche),cae_4.1.2.2,
etude_valor_rejets_thermique,Étude de valorisation des rejets thermiques de l’UIOM,cae_3.3.5.1,
contrat_mission_partenaire_sensibilisation,Contrat de mission ou Convention cadre avec une structure partenaire en matière de sensibilisation/action « énergie-climat »,cae_6.2.3.1,
code_de_la_rue,Code de la Rue ou Cahier des charges de l'élaboration d'un Code de la Rue,cae_4.3.1.1,
SDI,"Schéma directeur immobilier (stratégie, résultats, vente, etc.)",cae_2.1.2.2,
rapport_annuel_assain,Rapport annuel d’activités et de contrôle assainissement,cae_3.3.2.1,
rapport_activites_services,Rapport d’activité des services,cae_5.1.1.1,
liste_actions_sociales_copro,"Liste et/ou descriptifs des actions en direction des copropriétés, des locataires de logements sociaux ou autres publics cibles",cae_6.2.1.1,
audits_ener,Bilan des audits énergétiques (diagnostic),cae_2.1.1.3,
liste_conferences,Liste des Salons et conférences organisés par une Agence Locale de l’Énergie ou autres partenaires dans lesquels la collectivité est impliquée,cae_6.1.3.4,
prog_formation_cae,Programme de formation et nombre/qualité des agents formés,cae_5.1.3.1,
optim_conso_eau,"Instruction formalisée, note de service ou autres documents précisant la décision de vérifier et d'optimiser continuellement la consommation d'eau",cae_2.3.2.2,
PDA,Plan Déplacement Administration / Plan de mobilité,cae_4.1.2.2,
plan_formation_cae,Plan de formation climat-air-énergie,cae_5.1.3.1,
dossier_CEE,Dossier de certificats d’économie d’énergie,cae_5.2.1.5,
PAPI,Programmes d’Actions de Prévention des Inondations,cae_3.3.3.1,
dpe,Diagnostics de performance énergétique (DPE),cae_2.1.1.3,
PAT,Projet Alimentaire Territorial,cae_6.4.1.7,
enquete_circulation,"Circulation – comptage, enquêtes",cae_4.2.2.1,
aeu,Synthèse/conclusions d’études environnementales Approche Environnementale de l'Urbanisme (AEU) ou équivalent,cae_1.3.1.1,
schema_orga_services,Schéma d'organisation des services,cae_5.1.1.1,
pedibus,Politique des pédibus,cae_4.1.1.3,
bilan_parking_relais,Présentation / Bilan fréquentation des parking-relais,cae_4.3.4.2,
rapport_annuel_gaz,Rapport annuel d’activités et de contrôle gaz,cae_3.1.1.1,
rapport_annuel_perfo_ener,Rapport annuel des performances énergétiques du patrimoine,cae_2.1.1.3,
facture_eau,Modèle/exemple de facture d'eau,cae_3.3.1.4,
plan_reseau_TC,Plan du réseau / fiches horaires,cae_4.3.3.2,
ex_actions_cooperation_entreprises_cae,"Exemple d’actions de coopération avec les entreprises sur les thématiques climat, air et/ou énergie",cae_6.3.1.2,
charte_forestiere,Charte forestière,cae_6.4.2.4,
superficie_zonages,Évolution de la superficie des zonages,cae_1.3.1.1,
liste_rencontres_interpro,Liste rencontres interprofessionnelles,cae_6.3.1.2,
commande_publique_eco_responsable,Charte ou référentiel commande publique éco-responsable,cae_5.2.2.2,
enquete_deplacements,Résultats d’enquête ménages déplacements,cae_4.1.1.1,"<p>ou autre diagnostic sur la mobilité</p>
"
voirie_par_categorie,Pourcentage de voirie par catégorie,cae_4.2.2.1,
delib_taxe_annuel_eau_pluv,Délibération pour l’instauration d’une taxe annuelle pour la gestion des eaux pluviales urbaines,cae_3.3.3.5,
cdc_projets_urba,Cahier des charges ou règlement de consultation rédigé par la collectivité pour des projets d’urbanisme ou de bâtiments publics,cae_1.3.2.3,
etudes_ENR_elec,Études d’opportunité et/ou de faisabilité sur les énergies renouvelables pour l'électricité,cae_2.2.4.1,
eco_conduite,Cahier des charges/participants formation éco conduite,cae_4.1.2.3,
delib_droits_construire,Délibération sur la bonification de droits à construire,cae_1.3.1.1,"<p>Coefficient d'occupation des sols (COS) ou gabarit</p>
"
ex_object_annuel_personnel_energie,Exemple d’objectifs annuels du personnel dans le domaine de l’énergie,cae_5.1.3.1,
guide_stationnement,Guide pratique pour le stationnement,cae_4.2.1.6,
plan_pluriannuel_reseau,Programme pluriannuel de travaux d’amélioration des réseaux,cae_3.3.1.5,
certif_energie_verte,Précisions sur la certification de l’énergie « verte » achetée,cae_2.2.4.4,
plan_gestion_dechets,Plan de gestion des déchets,cae_3.3.5.1,
program_pistes_cyclables,Programmation des pistes cyclables et des parcs à vélos,cae_4.3.2.4,
liste_manifestations,"Liste des manifestations l’environnement, énergie, climat, développement durable",cae_6.1.3.4,
schema_directeur_energies,Schéma directeur des énergies,cae_1.2.1.1,
convention_energie,Convention avec un fournisseur ou un syndicat d'énergie,cae_3.1.2.3,
co_constr_plan_climat,Démarche de co-construction du Plan Climat,cae_6.5.1.1,
TVB,Trame Verte et Bleue,cae_3.3.4.1,
program_rue_double_sens_cycliste,Rues double sens cycliste et programmation,cae_4.3.2.4,
etude_valor_eau_usees,Étude de valorisation de la chaleur des eaux usées ou la méthanisation,cae_3.3.2.1,
liste_aides_financieres,Liste et montants des aides financières aux particuliers et acteurs économiques,cae_6.2.3.1,
prog_economie_eau,Programme d'économie d'eau,cae_2.3.2.1,
scot,"Schéma de Cohérence Territoriale (SCoT), notamment Plan d'Aménagement et de Développement Durable (PADD)",cae_1.3.1.1,
carto_zones_pietonnes,Cartographie des zones piétonnes,cae_4.3.1.1,
rapport_annuel_TC,Rapport annuel transports en commun,cae_4.3.3.2,
services_velo,"Vélo en libre service ou autres services liés au vélo (vélo-station, réparation…)",cae_4.3.2.4,
politique_EP,"Politique éclairage, Plan d’aménagement lumière",cae_2.3.1.3,
directives_eco_responsabilite_achats,Directives ou circulaires internes en faveur de l’éco-responsabilité des services dans leurs achats,cae_5.2.2.2,
reglement_assain,Règlement d’assainissement,cae_3.3.2.1,
PLU,Plan Local d'Urbanisme (Intercommunal),cae_1.3.1.1,
listes_projets_envir_ecoles,Liste des projets environnementaux et climat-air-énergie dans les écoles et structures accueillant du jeune public,cae_6.5.3.1,
plan_pluriannuel_reno,Plan Pluriannuel de Rénovation / de Travaux / d'Investissement,cae_2.1.2.2,
contrat_perfo_ener,Contrat de performance énergétique,cae_5.2.1.5,
tepcv,Programme TEPCV,cae_1.1.1.3,"<p>Possible de joindre aussi un éventuel avenant ou bilan intermédiaire</p>
"
etudes_ENR_chaleur,Études d’opportunité et/ou de faisabilité sur les énergies renouvelables pour la chaleur et le rafraîchissement,cae_2.2.3.1,
guide_aides_locales_cae,Guide des aides locales climat-air-énergie,cae_6.2.3.1,
crte,Contrat de Relance de Transition Écologique (CRTE),cae_1.1.1.3,
rapport_annuel_elec,Rapport annuel d’activités et de contrôle électricité,cae_3.1.1.1,
orientation_espaces_pietons,Orientations pour le développement des espaces piétons,cae_4.3.1.1,
postes_suivi_conso,Fiches de poste des personnes chargées d’effectuer le suivi des consommations,cae_2.1.1.3,
rapport_annuel_eau,Rapport annuel d’activités et de contrôle eau,cae_3.3.1.1,
certif_batiment,Convention de partenariat avec des organismes certificateurs du bâtiment,cae_1.3.2.3,
liste_batiments_conso,Liste des bâtiments Display et consommation,cae_2.1.1.3,
orga_activites_cae,Organigramme de la collectivité et du service référent des activités climat-air-énergie,cae_5.1.1.1,
rapport_annuel_dechets,"Étude de valorisation des bio-déchets, biogaz",cae_3.3.5.3,"<p>Preuve identique à la 1.2.3.1 CAE et 2.2.0 / 2.4.3 / 4.1.0 ECi--&gt;</p>
"
plan_communication,Plan de Communication,cae_6.1.3.4,
semaine_mobilite,Descriptif semaine de la mobilité,cae_4.1.1.3,
eval_climat_budget,Évaluation climat du budget de la collectivité,cae_5.2.1.3,
ref_amenagement_durable,Référentiel Aménagement Durable ou équivalent,cae_1.3.1.1,
hierar_reseau,Descriptif de la hiérarchisation du réseau,cae_4.2.2.1,
budget_instal_eau,Budget alloué pour l'achat et/ou l'installation des appareils et robinets économes en eau,cae_2.3.2.2,
rapport_sppgd,Rapport du service public de prévention et de gestion des déchets ménagers et assimilés (SPPGD),"cae_1.2.3.1, cae_3.3.5.3","<p>Pour les audits d’une année N, disposer au moins du rapport N-2.</p>
<p>Le rapport est un vrai document d’information du public et non un simple document de communication. Vous trouverez
<a href=""https://expertises.ademe.fr/professionnels/collectivites/integrer-lenvironnement-domaines-dintervention/dechets/connaitre/dossier/acceder-donnees/rapport-service-public-prevention-gestion-dechets-menagers-assimiles"">
ici une page d’information
</a>
sur le rapport du service public</p>
<p>de prévention et de gestion des déchets ménagers et assimilés et les exigences associées.</p>
"
