identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
1,Planification territoriale,,,,,,,,,,,,,,,,,,,
1.1,Stratégie globale climat-air-énergie,,,,,,,,,,,,,,,,,,,
1.1.1,"Définir la vision, les objectifs et la stratégie Climat-Air-Énergie","La collectivité définit une vision climat-air-énergie, y associe des objectifs qualitatifs et quantitatifs déclinés dans ses politiques sectorielles. Elle affirme son engagement en matière de climat, d’air et d'énergie en s'impliquant dans des réseaux et des démarches ambitieuses et reconnues et en définissant des objectifs plus ambitieux que les objectifs nationaux minimums. Ces objectifs sont définis clairement dans un document spécifique.

La collectivité définit une stratégie climat-air-énergie détaillant la vision qu'elle s'est fixée et structurée autour d'objectifs à moyen et long termes et de cibles intermédiaires de réduction des consommations et émissions. Un programme d’actions opérationnel y est associé, élaboré en cohérence avec les objectifs fixés.","**Contexte et enjeux**

Depuis le début du XXe siècle, le développement de nos sociétés occidentales repose sur l’accès à une énergie abondante, produite en majorité à partir de sources d’origine fossile (pétrole, charbon, gaz…). Ces ressources sont épuisables et très émettrices de gaz à effet de serre et de pollutions locales impactant notamment la qualité de l’air.

La France s’est fixée des objectifs en matière de politique énergétique et climatique. Pour les atteindre, tous les acteurs du territoire sont mobilisés.

Les collectivités territoriales jouent un rôle de premier plan, que ce soit à travers leurs compétences directes (bâtiments, équipements publics, déchets, transports collectifs, distribution d’eau et d’énergie, etc.) ou à travers leur responsabilité légale d’organisation et de planification des territoires (Plan Climat Air Energie Territorial - PCAET, Schéma de Cohérence Territoriale – SCoT, Plan Local d’Urbanisme – PLU, Programme Local de l’Habitat – PLH, Plan de Mobilité – PDM etc.).

Pour en savoir plus :

[https://www.ademe.fr/les-defis-de-la-transition/energies/](http://www.ademe.fr/pcaet-comprendre-construire-mettre-oeuvre]\(https://www.ademe.fr/les-defis-de-la-transition/energies/ \))

**Réglementation**

Loi relative à la Transition Énergétique pour la Croissance Verte de 2015 et Loi Énergie-Climat adoptée en 2019.

La France s’est engagée à :

-   d’ici 2050 : atteindre la neutralité carbone, et réduire de 50 % la consommation d’énergie finale par rapport à 2012.
    
-   d’ici 2030 :
    

o atteindre une part de 33 % d’énergies renouvelables dans la consommation finale brute d’énergie ;

o réduire de 40 % les émissions de GES entre 1990 et 2030 ;

o accroître la part des énergies renouvelables par usage. Ainsi, elle devra représenter au moins 38 % de la consommation finale de chaleur, au moins 15 % de la consommation finale de carburant et au moins 40 % de la production d’électricité.

La loi Climat et Résilience de 2021 portant lutte contre le dérèglement climatique et renforcement de la résilience face à ses effets comporte plusieurs dispositions qui concernent directement les collectivités, notamment sur la mobilité, les logements, l’alimentation, la production d’énergie renouvelable ou encore la publicité.

La loi n° 2023-175 du 10 mars 2023 relative à l'accélération de la production d'énergies renouvelables.

Par ailleurs, le cadre d’action en matière de climat et d’énergie d’ici à 2030 de l’Union Européenne vise à atteindre les objectifs suivants : -55% d’émissions de gaz à effet de serre (par rapport à 1990), 42,5% pour la part de renouvelable dans la consommation finale d’énergie. En mars 2023, le Parlement et le Conseil européens ont décidé de fixer un objectif européen d’efficacité énergétique de 11,7 % pour 2030, par rapport aux prévisions de consommation d’énergie pour 2030 établies en 2020. Le futur cadre d’action pour 2030 et l’après 2030 est en cours de négociation.

(Source : https://www.europarl.europa.eu/portal/fr - mars, 2023)

Références :

-   décret n° 2017-949 du 10 mai 2017 fixant les objectifs nationaux de réduction des émissions de certains polluants atmosphériques en application de l'article L. 222-9 du code de l'environnement
    
-   arrêté du 10 mai 2017 établissant le plan national de réduction des émissions de polluants atmosphériques JO du 11 mai 2017, textes n° 24 et 37.
    

Le décret d’adoption des nouvelles SNBC et PPE, qui sont les deux composantes de la Stratégie française pour l’énergie et le climat, a été publié le 21 avril 2020.

Le Grenelle de la mer apporte précise que les DOM-ROM doivent atteindre 50% d'énergies renouvelables dans leur consommation d'énergie finale en 2020.","**Grenoble**

Une ville en transition : Grenoble 2040

Mobilisée depuis son premier Plan Climat Énergie en 2005 sur une trajectoire d’atténuation des émissions de gaz à effet de serre, la Ville de Grenoble a obtenu le label Cit’ergie Gold en 2020 puis a été désignée Capitale Verte de l’Europe pour l’année 2022. Ces efforts constants dans la transition écologique, tant en matière d’atténuation des émissions de gaz à effet de serre que d’adaptation au réchauffement climatique, sont reconnus à l’échelle internationale pour leur volontarisme et leur efficacité. Cependant, la Ville prend acte que la poursuite de ces efforts se fera désormais dans un univers de contraintes, de crises et d’aléas qu’elle doit dès à présent intégrer dans sa gouvernance interne et territoriale, ses politiques publiques et ses projets. La ville a défini une nouvelle trajectoire « des transitions » intitulée Grenoble 2040. Cette démarche est aussi l'opportunité de questionner et évaluer les politiques publiques existantes, intégrer et développer les actions menées sur le territoire, et fédérer l'ensemble des parties prenantes locales pour renforcer et sécuriser notre trajectoire de transition.

[https://www.grenoble.fr/2852-grenoble-2040.htm](http://www.ademe.fr/pcaet-comprendre-construire-mettre-oeuvre]\(https://www.grenoble.fr/2852-grenoble-2040.htm#:~:text=La%20démarche,-Les%20alertes%20scientifiques&text=Grenoble%202040%20propose%20un%20cadre,nous%20souhaitons%20que%20ressemble%20demain.\))

Source : Candidature 5\* CAE, 2023

**CC Bernay Intercom**

Objectif Territoire à Energie Positive

Le PCAET de l’Intercom Bernay Terres de Normandie, validé en novembre 2019, reprend a minima les objectifs TEPOS (engagement 2017-2020). Le territoire faisant également partie du dispositif régional « Territoire 100 % ENR », il vise l’autonomie énergétique en 2040 (couverture de 100 % des besoins énergétiques du territoire par des ENR) en parallèle de la diminution des consommations énergétiques de 50 % à la même échéance. Un scénario global prospectif permet d'envisager les efforts à réaliser afin d'arriver aux objectifs intermédiaires de 2020-2030 et 2040-2050. Un plan d’actions opérationnel a été défini, déclinant les actions, les pilotes, le calendrier, le budget (lorsqu’il est connu), et des indicateurs de suivi (de moyen et de résultat).

et fédérer l'ensemble des parties prenantes locales pour renforcer et sécuriser notre trajectoire de transition.

[https://bernaynormandie.fr/preserver/la-transition-energetique/](https://bernaynormandie.fr/preserver/la-transition-energetique/)

Source : Candidature Cap Cit’ergie, 2019

\*\*Argentan Intercom \*\*

Au cœur de la transition énergétique : de la sobriété à la résilience

[https://normandie.ademe.fr/sites/default/files/presentation-atelier-citergie-sobriete.pdf](https://normandie.ademe.fr/sites/default/files/presentation-atelier-citergie-sobriete.pdf) [https://normandie.ademe.fr/retours-dexperience/changement-climatique-et-energie/collectivites](https://normandie.ademe.fr/retours-dexperience/changement-climatique-et-energie/collectivites )

**Politiques territoriales de sobriété**

Retours d'expérience de la DR Normandie de l’ADEME :

[https://normandie.ademe.fr/retours-dexperience/politiques-territoriales-de-sobriete/outils](https://normandie.ademe.fr/retours-dexperience/politiques-territoriales-de-sobriete/outils)","**Documents et web**

Les guides pour les PCAET et réglementation :

[https://www.drieat.ile-de-france.developpement-durable.gouv.fr/les-guides-pour-les-pcaet-et-reglementation-a3431.html](https://www.drieat.ile-de-france.developpement-durable.gouv.fr/les-guides-pour-les-pcaet-et-reglementation-a3431.html)

Publication du club STEP « Indicateurs territoriaux climat-air-énergie : lesquels choisir et comment les utiliser ? », 2020 :

[https://librairie.ademe.fr/changement-climatique-et-energie/773-indicateurs-territoriaux-climat-air-energie-lesquels-choisir-et-comment-les-utiliser--9791029713583.html](https://librairie.ademe.fr/changement-climatique-et-energie/773-indicateurs-territoriaux-climat-air-energie-lesquels-choisir-et-comment-les-utiliser--9791029713583.html)",12,,,"<p>Pas de réduction de potentiel</p>
","La vision se réfère à l'ensemble du territoire de la collectivité et à des documents du type :

-   Charte de l'énergie ou d'environnement
    
-   Programme de politique énergétique et climatique avec objectifs quantitatifs
    
-   Plan climat air énergie territorial
    
-   Contrat de transition écologique / Contrat de relance et de transition écologique
    
-   Agenda 2030
    
-   Convention des Maires
    

La stratégie définit le programme de politique énergétique et climatique (scénarios et plan d'actions).

Articulation Commune - EPCI : une vision et une stratégie élaborées au niveau intercommunal peuvent être valorisées au niveau communal, si elles sont suffisamment précises (objectifs et actions propres à la commune) et si la commune a participé activement à leur élaboration et a acté politiquement l’implication dans la démarche.

Démarche unique EPCI - ville centre : des indicateurs distincts peuvent être suivis ou gardés en mémoire par les deux collectivités mais l’évaluation est fondée sur les indicateurs à l'échelle de l’ensemble du territoire.

Nota : Dans les zones prioritaires (zones sensibles des SRCAE/SRADDET), dans les zones en contentieux européen PM10 et NO2 et en zone PPA, la vision en matière de qualité de l'air doit être particulièrement claire et ambitieuse. A l’inverse, en l'absence d'enjeu sur la qualité de l'air (seuil inférieur aux valeurs de l'OMS sans prévisions de hausse), moins de formalisme est exigé.",,,,,,,,"cae_1.a, cae_1.b, cae_2.a, cae_2.b, cae_3.a, cae_3.b, cae_4.a, cae_4.b, cae_4.c, cae_4.d, cae_4.e, cae_4.f",,x
1.1.1.1,Formaliser la vision et les engagements,,,,,,5,bases,,,,,,,,,,,,
1.1.1.1.1,Formaliser une vision et des engagements dans une décision de politique générale (délibération),,,,,,,,,,,,,,,,,,,
1.1.1.1.2,"S'engager dans des démarches ambitieuses et reconnues (TEPOS, Convention des Maires)",,,,,,,,,,,,,,,,,,,
1.1.1.2,Définir les principaux objectifs énergétiques et climatiques,,,,,,5,mise en œuvre,,,,,,,,,,,,
1.1.1.2.1,Définir des objectifs énergétiques et climatiques directeurs chiffrés,,,,,,,,,,,,,,,,,,,
1.1.1.2.2,Adapter les objectifs énergétiques et climatiques chiffrés au territoire,,,,,,,,,,,,,,,,,,,
1.1.1.2.3,Définir des objectifs concernant la lutte contre la pollution de l’air,,,,,,,,,,,,,,,,,,,
1.1.1.3,Détailler la stratégie et les objectifs énergétiques et climatiques par secteurs d’activités (scénarios),Pour les obligés PCAET : la forme des objectifs est précisée et suivie régulièrement : la collectivité doit traduire ces engagements en ordre de grandeurs concrets et opérationnels (exemple rénover XX logements d’ici à 2030 soit XX logements par an).,,,,,10,mise en œuvre,,,,,,,,,,,,
1.1.1.3.1,Détailler des scénarios prospectifs et des objectifs chiffrés dans la stratégie,,,,,,,,,,,,,,,,,,,
1.1.1.3.2,Détailler les objectifs chiffrés pour chaque secteur d’activité,,,,,,,,,,,,,,,,,,,
1.1.1.3.3,"Détailler les objectifs chiffrés à atteindre à l’horizon 2020, 2030 et 2050 par secteurs d’activités",,,,,,,,,,,,,,,,,,,
1.1.1.3.4,"Définir des objectifs particulièrement ambitieux dans les domaines de la planification de l’aménagement, du bâtiment et des transports",,,,,,,,,,,,,,,,,,,
1.1.1.3.5,Détailler les objectifs de développement pour chaque filière de production d’énergies renouvelables,,,,,,,,,,,,,,,,,,,
1.1.1.3.6,Mettre en évidence les conséquences en matière d’emploi et de coût de l’inaction dans la stratégie,,,,,,,,,,,,,,,,,,,
1.1.1.4,Préciser la stratégie sur la qualité de l’air,,,,,,5,mise en œuvre,,,,,,,,,,,,
1.1.1.4.1,Faire apparaître une hiérarchisation des actions dans la stratégie sur la qualité de l'air,,,,,,,,,,,,,,,,,,,
1.1.1.4.2,Réaliser un chiffrage des impacts du programme d'actions sur la qualité de l'air,,,,,,,,,,,,,,,,,,,
1.1.1.4.3,Quantifier les actions en termes d'émissions de polluants atmosphériques évitées (En zone PPA),,,,,,,,,,,,,,,,,,,
1.1.1.5,Décliner la stratégie climat-air-énergie de manière opérationnelle en cohérence avec les objectifs,"La stratégie climat-air-énergie est déclinée clairement de manière opérationnelle, en cohérence avec les objectifs, pour chaque axe : actions et sous-tâches / répartition des responsabilités entre les acteurs internes et/ou externes à la collectivité (services et noms identifiés) / calendrier / budget / indicateur de suivi",,,,,30,mise en œuvre,,,,,,,,,,,,
1.1.1.6,"Diffuser la vision, les objectifs et la stratégie Climat-Air-Énergie",Les mécanismes de concertation mis en place sont évalués plus précisément dans la mesure 6.5.1.,,,,,10,mise en œuvre,,,,,,,,,,,,
1.1.1.6.1,Comparer annuellement les objectifs au rythme réel de mise en œuvre sur le territoire,,,,,,,,,,,,,,,,,,,
1.1.1.6.2,Reprendre les objectifs dans les documents de planification,,,,,,,,,,,,,,,,,,,
1.1.1.6.3,Communiquer en interne et en externe pour diffuser et partager la vision,,,,,,,,,,,,,,,,,,,
1.1.1.6.4,Répondre à des appels à projets climat-air-énergie,,,,,,,,,,,,,,,,,,,
1.1.1.7,Évaluer et valoriser les résultats de cette politique climat-air-énergie,Les valeurs et les évolutions des indicateurs concernant les productions d'énergie renouvelable sont évaluées dans les actions dédiées.,,,,,35,effets,,,,,,,,,,,,
1.1.1.7.1,Réduire la consommation énergétique totale du territoire,,,,,,,,,,,,,,,,,,,
1.1.1.7.2,Réduire les émissions annuelles de gaz à effet de serre du territoire,,,,,,,,,,,,,,,,,,,
1.1.1.7.3,"Réduire les émissions annuelles des 6 polluants atmosphériques règlementaires de l'arrêté PCAET (NOx ; PM10 ; PM2,5 ; COV ; SO2 et ammoniac)",,,,,,,,,,,,,,,,,,,
