id,nom,actions,description
resultats_eval_efc,Preuve de l'évaluation,eci_3.6.4,"<p>Enquête, évaluation environnementale, évaluation sociétale…</p>
"
strategie_eit,"Document formalisant la stratégie, si possible validé par un (ou des) élu(s)",eci_3.5.1,
analyse_enjeux_sociaux,Analyse des enjeux sociaux intégrés dans le diagnostic,eci_1.1.2,
rapport_diag_eci,Rapport de diagnostic,eci_3.1.1,
evenement_sensi_conso_responsable,Preuve du déroulé des évènements mettant en avant la consommation sobre et responsable,eci_3.3.1,"<p>Au choix : programme, feuille d'émargement, bilan de l'évènement, etc.</p>
"
participation_formation_achats_responsables,Document attestant des formations et sensibilisations réalisées,eci_3.2.1,
restit_plpdma_spgd,Restitution du PLPDMA dans le rapport annuel SPGD,eci_2.1.1,
diffusion_rapport_annuel_public,Rapport annuel diffusé aux particuliers ou incitation à la consulter en facilitant l'accès,eci_2.4.5,
etude_ti,Documents d'avancement de l'étude,eci_4.2.2,
delib_ti,Délibération de principe sur la mise en place de la Tarification Incitative (TI),eci_4.2.4,
CR_reunion_inter_collectivites,Comptes-rendus des réunions d'échange,eci_1.2.4,
rapport_etude_reduction_impact_collecte,Rapport de l'étude réalisée,eci_2.4.1,
organigramme_eci,L'organigramme de l'équipe mobilisée pour la mise en œuvre de la politique Economie Circulaire (élu et équipe technique),eci_1.1.1,"<p>Organigramme du candidat sur lequel sont surlignés les services et directions qui participent à la politique ECi.</p>
"
accompagnement_acteurs_recherche_financements,Preuve des démarches établies par la collectivité pour chaque projet accompagné,eci_4.3.3,"<p>Comptes rendus de rendez-vous, agenda, etc.</p>
"
enquete_satisfaction_entreprises_conseillees,Enquête de satisfaction auprès des entreprises conseillées,eci_2.5.2,
plan_actions_eci,Plan d'actions d'optimisation de la collecte,eci_2.2.2,
arrete_modalites_collecte_dechets,Arrêté fixant les modalités de collecte des différentes catégories de déchets,eci_2.2.0,
fiche_Optigede_actions_grandpublic_eci,Fiches actions sur Optigede,eci_5.1.2,
etude_optimisation_couts,Rapport d'étude,eci_4.1.2,
convention_ecoconception,Convention des différents partenariats,eci_3.4.2,
participation_formation_conso_responsable,Attestations de formation,eci_3.3.2,
cr_reunion_interentreprise_eit,Comptes rendus des réunions/ateliers inter-entreprises réalisés,eci_3.5.2,
cdc_diag_eci,Cadrage ou cahier des charges du diagnostic,eci_3.1.1,
CR_reunion_elaboration_nouvelle_strategie_eci,Compte-rendu des réunions d'élaboration des nouvelles stratégies,eci_1.2.3,
bilan_synergies_eit,Document de preuve de la réalisation de la synergie,eci_3.5.3,"<p>Contrat, article, publication...</p>
"
budget_eci,Justificatif d'une ligne budgétaire dédiée à la stratégie et au programme d'actions Economie Circulaire en précisant la part du budget ECi par rapport au budget global (%),eci_1.1.1,"<p>Toute ligne budgétaire relative à la politique économie circulaire quel que soit le service mettant en oeuvre l’action.</p>
"
financement_ri,Document formalisant l'accompagnement de chaque projet,eci_3.7.2,"<p>Contrat ou convention de financement par exemple</p>
<p>Le degré d'innovation est à considérer à l'échelle géographique pertinente.</p>
"
participation_projets_efc,Preuve d'engagement,eci_3.6.3,"<p>Charte, comptes rendus de réunion</p>
"
com_public_conso_responsable,Support(s) de communication,eci_3.3.1,"<p>Au choix : annuaire, carte en ligne, page du site web, livret, etc.</p>
"
liste_membres_copil_elargi,Liste des membres de la gouvernance élargie et leurs rôles,eci_1.1.3,
actions_service_conso_responsable,Liste d’actions à décliner dans chaque service formé,eci_3.3.2,
suivi_actions_filiere,Protocole de suivi,eci_3.1.3,
conformite_installations,"Autre preuve de la conformité des installations (selon la nature de l'installation) pour les émissions polluantes et les nuisances (olfactives, sonores, etc.)",eci_2.4.0,"<p>En présence de non-conformité, la collectivité doit justifier d&#x27;un plan d&#x27;actions correctives et de l&#x27;absence de contentieux.</p>
"
duerp_traitement,Document Unique d'Evaluation de Risques Professionnels (DUERP) pour les installations sous la responsabilité de la collectivité (DSP et marché inclus),eci_2.3.0,
