Coremeasure,Identifiant,Nom,Points,Origine,Categorie,Labels,DesactivationDesc,Desactivation,Indicateurs_WIP,Calcul du score lié à l'indicateur,Tags,Adaptation - Flags,Adaptation - Descriptifs,Adaptation - calcul,Description,Exemples non exhaustifs,Preuves,Périmètre de l'évaluation et renvoi vers d'autres fiches actions,Contexte et enjeux,Ressources,Réglementation,Retours d'expérience
,1,Planification écologique territoriale,78,,,,,,,,,,,,,,,,,,,
,1.1,Stratégies de transition écologique,52,,,,,,,,,,,,,,,,,,,
coremeasure,1.1.1,Réaliser le diagnostic Climat-Air-Énergie du territoire,6,,,,"#Questions de personnalisation :
 - La collectivité a-t-elle la compétence d'élaboration d'un PCAET ? (BANATIC C2075)
 - L’EPCI a-t-il transféré la compétence d'élaboration de son PCAET (à un PETR, un syndicat mixte, un pôle métropolitain etc.) ?
 
 #Réduction de potentiel
 - #1 Si la collectivité est obligée PCAET : 
 o Pas de réduction de potentiel
 - #2 Si la collectivité n’est pas obligée PCAET (commune, EPCI de moins de 20 000 hab, ou EPCI non obligé PCAET impliqué dans un PCAET supra (ex : Pays, PETR, pôle métropolitain...)) : 
 o La collectivité est évaluée selon le questionnement alternatif « Réaliser un diagnostic ou participer au Diagnostic Climat-Air-Energie à l'échelle supra ».
 o Le potentiel de points est de 50 % par rapport au potentiel d’une collectivité ayant la compétence.","si reponse(PCAET_1, NON) alors VRAI
 sinon si reponse(PCAET_1, OUI) et reponse(PCAET_2, OUI) alors VRAI
 sinon FAUX",,,,,,,"La collectivité effectue régulièrement (par exemple tous les 3 à 6 ans) une analyse de la situation climat-air-énergie pour son territoire, de manière quantitative et qualitative, tous secteurs confondus : résidentiel, tertiaire, transport routier, autres transports, agriculture, déchets, industrie hors branche énergie, branche énergie (8 secteurs du PCAET) et UTCATF (Utilisation des terres, changement d'affectation des terres et foresterie). 
 En préparation de l’élaboration ou de l’actualisation de la stratégie Climat-Air-Energie, le diagnostic Climat-Air-Energie permet d’identifier les enjeux prioritaires et les leviers d’actions les plus pertinents. Il inclut l’analyse des marges de manœuvre en matière de sobriété énergétique, visant à réduire les besoins en énergie à la source dans tous les secteurs, notamment par une réflexion sur les usages, les comportements et l’aménagement du territoire.
 De manière chiffrée, le bilan présente à l’échelle du territoire, notamment :
 - Les consommations et productions d'énergie, notamment renouvelable,
 - Les consommations détaillées par secteur et par vecteur énergétique
 - Les émissions de gaz à effet de serre,
 - Les émissions et les concentrations (dans les zones sensibles) de polluants atmosphériques,
 - La séquestration nette de carbone sur le territoire (flux de carbone liés aux stockage/déstockage de carbone dans les sols et la végétation).
 - Une évaluation de l’état des sols du territoire
 L’analyse de la vulnérabilité au changement climatique est évaluée dans la mesure « Réaliser un diagnostic de vulnérabilité, définir une stratégie et s’engager dans un programme d’adaptation au changement climatique du territoire ».",,,,,"- Centre de ressources Bilans GES de l’ADEME (plateforme nationale pour la publication des bilans GES et ressources) : https://bilans-ges.ademe.fr 
 - Outil ADEME Aldo pour calculer le stock et les flux de carbone sur les territoires : https://aldo.territoiresentransitions.fr/ 
 - MOOC ADEME « stocker du carbone dans les écosystèmes : des enjeux aux solutions pour les territoires » (accès libre) : https://www.fun-mooc.fr/fr/cours/stocker-du-carbone-dans-les-ecosystemes/ 
 - I4CE – étude sur les puits de carbone et objectifs SNBC2 : https://www.i4ce.org/publication/puits-carbone-france-realiste/ 
 - Initiative « 4 pour 1000 » : https://4p1000.org/ 
 - Inventaire Forestier National de l’IGN : https://inventaire-forestier.ign.fr/ 
 - CITEPA : inventaire national des émissions de GES (rapport SECTEN, volet UTCATF) https://www.citepa.org/fr/secten/ 
 - Observatoire des Forêts - IGN/ONF/OFB : https://foret.ign.fr/ 
 - La Fresque du sol propose des synthèses scientifiques détaillant chacune des fonctions écologiques portées par le sol : https://fresquedusol.com/ 
 - Le rapport MUSE (Intégrer la multifonctionnalité des sols dans les documents d’urbanisme) : https://librairie.ademe.fr/ged/6910/rapport_muse.pdf 
 - Données énergétiques territoriales pour la planification et l'action Energie-Climat, Club STEP, 2019 : https://librairie.ademe.fr/changement-climatique-et-energie/1322-donnees-energetiques-territoriales-pour-la-planification-et-l-action-energie-climat-n3-9791029711282.html 
 - État des lieux 2023 des PCAET : « comment suivre et évaluer le plan climat-air-énergie territorial ? » réalisé par Intercommunalites de France : https://www.intercommunalites.fr/publications/etat-des-lieux-2023-des-pcaet-comment-suivre-et-evaluer-le-plan-climat-air-energie-territorial/#:~:text=Obligatoire%20pour%20les%20m%C3%A9tropoles%20et,les%20d%C3%A9r%C3%A8glements%20de%20l'%C3%A9cosyst%C3%A8me.
 - Rapport concernant la contribution des PACET et des SRADDET aux politiques de transition écologique et énergétique (article 68 de la loi énergie-climat) : https://www.ecologie.gouv.fr/sites/default/files/publications/Rapport_article_68_LEC_compressed.pdf
 - ATMO France - Fédération des Associations agréées de surveillance de la qualité de l'air : https://www.atmo-france.org/
 - RARE - Réseau des agences régionales de l’énergie et de l’environnement, coordonne les Observatoires Régionaux de l’Energie et du Climat, (OREC) : https://rare.fr/ 
 - Réaliser la transition énergétique par le paysage : https://librairie.ademe.fr/urbanisme-territoires-et-sols/7352-realiser-la-transition-energetique-par-le-paysage-9791029722042.html 
 - Les plans de paysages relatifs à la biodiversité et à l’énergie sont cartographiés sur le site « Objectif Paysages » du ministère en charge de l’écologie : (Carte Interactive | MTE Objectif paysages ; https://objectif-paysages.developpement-durable.gouv.fr/ ). 
 - L’Observatoire des Energies Renouvelables et de la Biodiversité, piloté par l’Office Français de la Biodiversité et l’ADEME, met à disposition des ressources bibliographiques et des synthèses de connaissances sur les impacts des énergies renouvelables et l’efficacité des solutions pour les atténuer 
 - Capacités d’accueil de raccordement aux réseaux de transport et de distribution des installations de production d'électricité : https://capareseau.fr/",,
,1.1.1alter,Réaliser un diagnostic ou participer au Diagnostic Climat-Air-Energie à l'échelle supra,"3,0","Cae_1.1.2.2.3 (1)
 Cae_1.1.2.2.1 (1)
 Cae_1.1.2.2.2 (1)
 Cae_1.1.2.2.5 (1)",,te_cae,,"si reponse(PCAET_1, OUI) et reponse(PCAET_2, NON) alors VRAI
 sinon FAUX",,,,,,,"Dans le cas où la collectivité n’est pas en obligation de réaliser un PCAET (ou un SCoT AEC), elle réalise de manière volontaire un diagnostic climat-air-énergie à l'échelle de son territoire (via une mission externe, en interne, via une convention avec un observatoire régional...).
 Elle s’approprie le diagnostic ou les données de l'observatoire régional (connaissance, diffusion, déclinaison locale à son territoire, délibération spécifique...), puis analyse à minima les indicateurs climat (GES), énergie (consommation et production) et qualité de l'air si le territoire est couvert par un PPA (plan de protection de l’atmosphère.
 Elle contribue à l'élaboration et à la mise en œuvre du PCAET supra, et le décline à son échelle.
 
 La collectivité suit et progresse dans l’atteinte des objectifs déclinés à son territoire (énergie, GES, ENR&R, qualité de l’air).",,,,,,,
,1.1.1.1,Analyser la consommation énergétique finale du territoire et son potentiel de réduction,"0,60",Cae_1.1.2.2.3,Bases,te_cae,,,,,,,,,"La collectivité connaît et analyse la consommation énergétique finale de son territoire et le potentiel de réduction de celle-ci.
 Les données (qui sont disponibles dans les observatoires régionaux), sont déclinées par secteurs consommateurs (habitat, tertiaire, transport, industrie, agriculture) et par énergies consommées. Le diagnostic présente les résultats pour une année de référence (généralement la dernière année pour laquelle les données sont disponibles), ainsi qu’une analyse des évolutions pluriannuelles. 
 Le diagnostic permet de comprendre les enjeux du territoire du point de vue énergétique, de poser les bases du suivi l’évolution des consommations énergétiques, d’identifier les potentiels en matière de sobriété (en interrogeant les besoins, les usages et les leviers de réduction à la source) et d’efficacité énergétique.","- Mettre en place une base d’indicateurs à suivre pour établir le diagnostic énergie du territoire
 - Utiliser les unités exigées réglementairement
 - Vérifier que les dernières données disponibles sont bien utilisées ;
 - Expliciter les sources et les données (année, acteurs, périmètre) ;
 - Analyser l’évolution des consommations d’énergie au regard d’indicateurs contextuels comme le nombre d’habitants, d’emplois, superficie, etc.
 - Identifier les leviers de réduction des consommations énergétiques par secteur
 - Diffuser et partager le diagnostic énergétique du territoire en interne à la collectivité (agents et élus)",,,,,,
,1.1.1.2,Analyser les émissions de gaz à effet de serre du territoire et le potentiel de réduction,"1,2",Cae_1.1.2.2.1,Bases,te_cae,,,,,,,,,"La collectivité connaît et analyse les émissions de GES de son territoire, à la fois les émissions d’origine énergétique et les émissions non énergétiques. 
 Ces informations, également fournies par les observatoires régionaux de l’énergie et du climat, sont cohérentes avec le bilan des consommations d’énergie du territoire. 
 Comme pour les consommations d’énergie, la collectivité analyse leurs valeurs pour une année de référence, leurs évolutions pluriannuelles et les potentiels de réduction. Idéalement des analyses complémentaires sont proposées sur les secteurs à enjeux.
 Remarque : 
 A minima le diagnostic prendra en compte les secteurs PCAET : résidentiel, tertiaire, transport routier, autres transports, agriculture, déchets, industrie hors branche énergie, branche énergie (hors production d’électricité, de chaleur et de froid pour les émissions de gaz à effet de serre, dont les émissions correspondantes sont comptabilisées au stade de la consommation). Bien que cela soit non réglementaire, il peut utilement s’intéresser aux émissions indirectes, en particulier les postes : biens de consommations et services, alimentation, échanges avec les autres territoires).","- Mettre en place une base d’indicateurs à suivre pour établir le diagnostic des émissions de GES du territoire ;
 - Utiliser les unités exigées réglementairement ;
 - Vérifier que les dernières données disponibles sont bien utilisées ;
 - Expliciter les sources et les données (année, acteurs, périmètre) ;
 - Analyser l’évolution des émissions au regard d’indicateurs contextuels comme le nombre d’habitants, d’emplois, superficie, etc. ;
 - Identifier les leviers de réduction des émissions de GES par secteur ;
 - Diffuser et partager le diagnostic du territoire en interne à la collectivité (agents et élus).",,,,,,
,1.1.1.3,Réaliser un bilan qualité de l’air complet du territoire,"1,2",Nouvelle action,Bases,te_cae,,,,,,,,,"La collectivité connaît et analyse les émissions de polluants atmosphériques sur son territoire ainsi que les concentrations de polluants dans l'air (dans les zones sensibles). Le lien est fait avec les sujets climat et énergie.
 Les données (qui sont disponibles dans les observatoires régionaux), sont déclinées par secteurs consommateurs (habitat, tertiaire, transport, industrie, agriculture) et par polluant. Le diagnostic présente les résultats pour une année de référence, ainsi qu’une analyse des évolutions pluriannuelles. 
 Le diagnostic est un outil au service de la mise en place des actions avec notamment un travail de qualification et de quantification des leviers de réduction.","- Mettre en place une base d’indicateurs pour établir le diagnostic qualité de l’air du territoire. Utiliser les unités exigées réglementairement et vérifier que les dernières données disponibles sont bien utilisées ;
 - Expliciter les sources et les données (année, acteurs, périmètre) ;
 - Recueillir les données relatives à la qualité de l’air du territoire : cartes de concentrations, émissions de polluants atmosphériques du territoire, nombre de personnes exposées aux différents seuils ;
 - Analyser l'inventaire des émissions de polluants atmosphériques et son historique pour les polluants PCAET (NOx, PM10, PM2.5, NH3, SO2, COVNM) : contribution sectorielle voire intra sectorielle aux émissions de la dernière année étudiée, évolution globale et par secteur des émissions, etc. ; 
 - Analyser les cartes de concentration pour les principaux polluants atmosphériques réglementés (NO2, PM10, PM2.5, SO2, NH3, O3), en identifiant les zones à enjeux et le nombre de personnes exposées aux valeurs limites réglementaires, en lien avec l’association agréée de surveillance de la qualité de l'air (AASQA) du territoire concerné ;
 - Réaliser des analyses croisées des enjeux qualité de l'air et urbanisme (identification des ERP avec un focus sur les établissements accueillant les populations sensibles) ;
 - Évaluer les potentiels de réduction. Ces derniers peuvent inclure des approches de sobriété, notamment dans le domaine des mobilités, de l’énergie ou de la gestion des déchets, afin de limiter les émissions à la source ;
 - Identifier les leviers de réduction des émissions de polluants atmosphériques sur le territoire ;
 - Détailler finement l'analyse des émissions de polluants atmosphériques pour chaque secteur d'activité et identifier les gisements locaux de réduction des émissions par secteur ;
 - Pour les collectivités soumises aux Plans d'Action pour la Qualité de l'air (PAQA), faire une étude d'opportunité ZFE-m (sauf si une ZFE-m est déjà en place sur tout ou une partie du territoire) ;
 - Identifier le nombre de personnes exposées à d’autres seuils que les valeurs limites réglementaires pour les principaux polluants (PM10, PM2.5, NO2, O3) : recommandations de l’OMS et cibles intermédiaires, objectifs de qualité, etc. ;
 - Analyser l’évolution du nombre de personnes exposées sur un historique pour les polluants et les différents seuils étudiés depuis 2005 ;
 - Analyser l’évolution des émissions de polluants atmosphériques au regard d’indicateurs contextuels comme le nombre d’habitants, d’emplois, superficie, etc. ;
 - Prendre connaissance des émissions de polluants atmosphériques et son historique pour d’autres polluants à enjeux sur le territoire : PM1, métaux, HAP, dioxines, furanes, produits phytosanitaires, pollens, etc. ;
 - Analyser les cartes de concentrations et identifier le nombre de personnes exposées pour d’autres polluants atmosphériques à enjeux sur le territoire comme l’ozone, le benzène, etc. ; 
 - Estimer si possible les impacts sanitaires (mortalité) des baisses potentielles des concentrations de NO2 et PM2.5 ;
 - Diffuser et partager le diagnostic qualité de l’air du territoire en interne à la collectivité (agents et élus) ; 
 - Valoriser et utiliser les résultats des EQIS (évaluations quantitatives d'impact sur la santé) lorsqu’elles existent.",,,,,,
,1.1.1.4,"Estimer la séquestration nette de dioxyde de carbone dans les puits naturels, leur maintien, leur restauration et leur extension","1,2",Cae_1.1.2.2.2,Bases,te_cae,,,,,,,,,"La collectivité connaît et analyse les stocks et flux de carbone actuels des sols et forêts du territoire. 
 Elle identifie les leviers d’actions et le potentiel de séquestration du territoire (gestion forestière, sols agricole, changement d’affectation des sols et préservation foncière).
 Il est possible d’utiliser l’outil ALDO de l’ADEME destiné aux collectivités https://aldo.territoiresentransitions.fr/. Cet outil permet d’estimer le potentiel de séquestration ou d’émissions de scénarios d’occupation des sols ou de pratiques agricoles. Ce potentiel peut être comparé au bilan d’émissions de GES du territoire actuel ou projeté.",,,,,,,
,1.1.1.5,"Analyser les productions énergétiques renouvelables sur le territoire, leur potentiel de développement par filière et les réseaux d’énergie","0,6",Cae_1.1.2.2.5,Bases,te_cae,,,,,,,,,"La collectivité connait et analyse les productions énergétiques renouvelables sur son territoire, par énergie (électrique, thermique et carburants renouvelables) et par filière. Les données des observatoires régionaux énergie climat doivent être privilégiées lorsqu’ils existent. À défaut, les données en open source d’Enedis et de GRDF peuvent être utilisées en complément.
 Elle dispose d’une vision pour l’année de référence, d’une analyse pluriannuelle, ainsi que d’une étude de potentiel de développement des différentes filières d’énergies renouvelables. 
 Les installations sont décrites (localisation, puissance et production, ressource utilisée, filière d’approvisionnement, valeur ajoutée produite, emplois maintenus ou créés, etc.). Cette analyse est réalisée plus ou moins en détail selon les besoins du territoire. 
 Elle peut comprendre l’impact de ces installations sur la qualité de l’air, l’aménagement du territoire, la biodiversité, etc. 
 Remarque : la partie analyse des potentiels de développement est aussi évaluée dans la mesure « Elaborer un schéma directeur des énergies ».","- La collectivité dispose d’une ou plusieurs études de potentiels, par filière, adaptées à son territoire, incluant aussi les potentiels de « repowering » (processus de remplacement des anciennes centrales électriques par des centrales plus récentes qui ont soit une plus grande capacité nominale, soit une plus grande efficacité). 
 - Ces études de potentiels prennent en compte les enjeux liés à la biodiversité, aux sols et paysages, et notamment les diagnostics dédiés à la biodiversité (développés dans la mesure « Préserver et restaurer la biodiversité du territoire »). 
 - La spatialisation de ces potentiels et ce croisement d’enjeux peuvent être réalisés dans le cadre de démarches « Plans de Paysage ». 
 - Pour les ENR électriques, elle connaît également les capacités d’accueil de raccordement aux réseaux de transport et de distribution des installations de production d'électricité sur son territoire via le site https://capareseau.fr/",,,,,,
,1.1.1.6,Réaliser un diagnostic de la multifonctionnalité des sols sur le territoire,"1,2",Nouvelle action,Bases,te_cae,,,,,,,,,"La collectivité connait et analyse la multifonctionnalité des sols. Elle dispose d’un diagnostic intégrant : 
 - La capacité à fournir de la biomasse
 - La régulation du cycle de l’eau
 - Le réservoir de carbone
 - Le réservoir de biodiversité du sol
 - La fonction du sol comme support de paysage.
 Le diagnostic contient des éléments d’analyse permettant d’intégrer les fonctions du sol dans une stratégie du ZAN (Zéro Artificialisation Nette) et de connaitre la qualité des sols à renaturer ou à restaurer (techniques de génie pédologique).",,,,,,,
